Sim_ID,W_Grid,W_Cap,W_Social,W_Env,GLOBAL_PERFORMANCE_INDEX,Total_Capex,Total_Revenue_Daily,ROI_10y_Pct,LCOE_USD_kWh,Windfall_Profit_Index,Revenue_Volatility,Self_Sufficiency_Pct,Peak_Coincidence_Pct,Voltage_Deviation_Avg,CO2_Avoided_Tons_Year,Social_Equity_Pct,Gini_Incentivo,Revenue_Disparity_Ratio,Subsidy_Intensity,Private_Investment_Leverage,Incentivized_Carbon_Cost,Grid_Congestion_Max_Pct,Tech_Losses_Total_kWh,Score_ROI_10y_Pct,Score_LCOE_USD_kWh,Score_Windfall_Profit_Index,Score_Revenue_Volatility,Score_Grid_Congestion_Max_Pct,Score_Tech_Losses_Total_kWh,Score_Voltage_Deviation_Avg,Score_Self_Sufficiency_Pct,Score_Peak_Coincidence_Pct,Score_Social_Equity_Pct,Score_CO2_Avoided_Tons_Year,Score_Subsidy_Intensity,Score_Incentivized_Carbon_Cost,Score_Private_Investment_Leverage,Score_Revenue_Disparity_Ratio,Score_Gini_Incentivo
20260128_163728,0.0000,0.0000,0.0000,0.0000,48.6405,1307252.3727,356.7074,-0.4032,0.0396,-1.2016,67.1459,49.9631,31.8330,0.0169,568.1838,59.6919,0.2866,1.0000,-12.0504,0.0000,-0.0000,2.7761,0.4822,0.0000,50.0000,100.0000,0.0034,83.3152,96.6244,39.9851,50.0000,50.0000,42.0816,50.0000,100.0000,100.0000,0.0000,0.0000,16.2376
20260128_163922,0.0000,0.0000,0.0000,0.2500,57.0566,1307252.3727,683.1282,90.7373,0.0396,44.3687,67.1459,49.9631,31.8330,0.0169,568.1838,67.1556,0.1857,1.0000,48.0620,1.3723,167.6562,2.2033,0.4667,6.0765,50.0000,93.9235,0.0034,96.2904,97.3795,43.2788,50.0000,50.0000,52.8061,50.0000,93.9235,80.4297,100.0000,0.0000,48.7943
20260128_164005,0.0000,0.0000,0.0000,0.5000,47.2767,1307252.3727,1009.5490,181.8778,0.0396,89.9389,67.1459,49.9631,31.8330,0.0169,568.1838,49.1028,0.2363,1.0000,108.1744,0.6097,377.3481,2.8723,0.5356,12.1530,50.0000,87.8470,0.0034,81.1355,94.0254,33.7175,50.0000,50.0000,26.8662,50.0000,87.8470,55.9527,44.4301,0.0000,32.4490
20260128_164110,0.0000,0.0000,0.0000,0.7500,47.0646,1307252.3727,1335.9698,273.0182,0.0396,135.5091,67.1459,49.9631,31.8330,0.0169,568.1838,46.0967,0.1223,1.0000,168.2868,0.3919,587.0401,2.9231,0.4952,18.2295,50.0000,81.7705,0.0034,79.9833,95.9918,43.4424,50.0000,50.0000,22.5468,50.0000,81.7705,31.4756,28.5596,0.0000,69.2601
20260128_164240,0.0000,0.0000,0.0000,1.0000,44.3759,1307252.3727,1662.3906,364.1587,0.0396,181.0794,67.1459,49.9631,31.8330,0.0169,568.1838,55.8625,0.1596,1.0000,228.3992,0.2888,796.7321,2.8277,0.4843,24.3060,50.0000,75.6940,0.0034,82.1452,96.5243,33.8216,50.0000,50.0000,36.5791,50.0000,75.6940,6.9985,21.0430,0.0000,57.2052
20260128_164347,0.0000,0.0000,0.2500,0.0000,64.0295,1307252.3727,695.0433,94.0641,0.0396,46.0321,66.2588,49.9631,31.8330,0.0170,568.1838,100.0000,0.2113,1.9485,50.2562,1.3124,0.0000,2.5129,0.4945,6.2983,50.0000,93.7017,67.5678,89.2768,96.0258,16.7212,50.0000,50.0000,100.0000,50.0000,93.7017,100.0000,95.6339,25.0000,40.5442
20260128_164450,0.0000,0.0000,0.2500,0.2500,62.2957,1307252.3727,1021.4641,185.2046,0.0396,91.6023,66.2588,49.9631,31.8330,0.0169,568.1838,100.0000,0.0510,1.4953,110.3686,0.5976,192.5012,3.3449,0.6981,12.3748,50.0000,87.6252,67.5678,70.4290,86.1255,58.5874,50.0000,50.0000,100.0000,50.0000,87.6252,77.5296,43.5468,13.0542,92.2661
20260128_164601,0.0000,0.0000,0.2500,0.5000,57.7046,1307252.3727,1347.8849,276.3451,0.0396,137.1725,66.2588,49.9631,31.8330,0.0169,568.1838,100.0000,0.1866,1.3351,170.4810,0.3869,396.4629,2.6715,0.4734,18.4513,50.0000,81.5487,67.5678,85.6843,97.0522,52.1710,50.0000,50.0000,100.0000,50.0000,81.5487,53.7214,28.1920,8.8333,48.5026
20260128_164700,0.0000,0.0000,0.2500,0.7500,55.2606,1307252.3727,1674.3057,367.4855,0.0396,182.7428,66.2588,49.9631,31.8330,0.0169,568.1838,100.0000,0.1229,1.2533,230.5934,0.2860,603.2897,2.5819,0.5104,24.5278,50.0000,75.4722,67.5678,87.7131,95.2546,32.0149,50.0000,50.0000,100.0000,50.0000,75.4722,29.5788,20.8427,6.6751,69.0504
20260128_164800,0.0000,0.0000,0.2500,1.0000,49.2264,1307252.3727,2000.7264,458.6260,0.0396,228.3130,66.2588,49.9631,31.8330,0.0169,568.1838,100.0000,0.2503,1.2035,290.7058,0.2269,811.2626,3.6916,0.7390,30.6043,50.0000,69.3957,67.5678,62.5755,84.1325,48.8253,50.0000,50.0000,100.0000,50.0000,69.3957,5.3024,16.5329,5.3644,27.9254
